offset along full diagonal, aAV
0.0381051, 0.5
0.0383361, 0.5
0.038567, 0.5
0.0387979, 0.5
0.0390289, 0.5
0.0392598, 0.5
0.0394908, 0.5
0.0397217, 0.5
0.0399526, 0.5
0.0401836, 0.5
0.0404145, 0.5
0.0406455, 0.5
0.0408764, 0.5
0.0411073, 0.5
0.0413383, 0.5
0.0415692, 0.5
0.0418002, 0.5
0.0420311, 0.5
0.042262, 0.5
0.042493, 0.5
0.0427239, 0.5
0.0429549, 0.5
0.0431858, 0.5
0.0434167, 0.5
0.0436477, 0.5
0.0438786, 0.5
0.0441096, 0.5
0.0443405, 0.5
0.0445714, 0.5
0.0448024, 0.5
0.0450333, 0.5
0.0452643, 0.5
0.0454952, 0.5
0.0457261, 0.5
0.0459571, 0.5
0.046188, 0.5
0.046419, 0.5
0.0466499, 0.5
0.0468808, 0.5
0.0471118, 0.5
0.0473427, 0.5
0.0475737, 0.5
0.0478046, 0.5
0.0480355, 0.5
0.0482665, 0.5
0.0484974, 0.5
0.0487284, 0.5
0.0489593, 0.5
0.0491902, 0.5
0.0494212, 0.5
0.0496521, 0.5
0.0498831, 0.5
0.050114, 0.5
0.0503449, 0.5
0.0505759, 0.5
0.0508068, 0.5
0.0510378, 0.5
0.0512687, 0.5
0.0514996, 0.5
0.0517306, 0.5
0.0519615, 0.5
0.0521925, 0.5
0.0524234, 0.5
0.0526543, 0.5
0.0528853, 0.5
0.0531162, 0.5
0.0533472, 0.5
0.0535781, 0.5
0.053809, 0.5
0.05404, 0.5
0.0542709, 0.5
0.0545019, 0.5
0.0547328, 0.5
0.0549637, 0.5
0.0551947, 0.5
0.0554256, 0.5
0.0556566, 0.5
0.0558875, 0.5
0.0561184, 0.5
0.0563494, 0.5
0.0565803, 0.5
0.0568113, 0.5
0.0570422, 0.5
0.0572731, 0.5
0.0575041, 0.5
0.057735, 0.5
0.057966, 0.5
0.0581969, 0.5
0.0584278, 0.5
0.0586588, 0.5
0.0588897, 0.5
0.0591207, 0.5
0.0593516, 0.5
0.0595825, 0.5
0.0598135, 0.5
0.0600444, 0.5
0.0602754, 0.5
0.0605063, 0.5
0.0607372, 0.5
0.0609682, 0.5
0.0611991, 0.5
0.0614301, 0.5
0.061661, 0.5
0.0618919, 0.5
0.0621229, 0.5
0.0623538, 0.5
0.0625848, 0.5
0.0628157, 0.5
0.0630466, 0.5
0.0632776, 0.5
0.0635085, 0.5
0.0637395, 0.5
0.0639704, 0.5
0.0642013, 0.5
0.0644323, 0.5
0.0646632, 0.5
0.0648942, 0.5
0.0651251, 0.5
0.0653561, 0.5
0.065587, 0.5
0.0658179, 0.5
0.0660489, 0.5
0.0662798, 0.5
0.0665108, 0.5
0.0667417, 0.5
0.0669726, 0.5
0.0672036, 0.5
0.0674345, 0.5
0.0676655, 0.5
0.0678964, 0.5
0.0681273, 0.5
0.0683583, 0.5
0.0685892, 0.5
0.0688202, 0.5
0.0690511, 0.5
0.069282, 0.5
0.069513, 0.5
0.0697439, 0.5
0.0699749, 0.5
0.0702058, 0.5
0.0704367, 0.5
0.0706677, 0.5
0.0708986, 0.5
0.0711296, 0.5
0.0713605, 0.5
0.0715914, 0.5
0.0718224, 0.5
0.0720533, 0.5
0.0722843, 0.5
0.0725152, 0.5
0.0727461, 0.5
0.0729771, 0.5
0.073208, 0.5
0.073439, 0.5
0.0736699, 0.5
0.0739008, 0.5
0.0741318, 0.5
0.0743627, 0.5
0.0745937, 0.5
0.0748246, 0.5
0.0750555, 0.5
0.0752865, 0.5
0.0755174, 0.5
0.0757484, 0.5
0.0759793, 0.5
0.0762102, 0.5
0.0764412, 0.5
0.0766721, 0.5
0.0769031, 0.5
0.077134, 0.5
0.0773649, 0.5
0.0775959, 0.5
