offset analytical, V
0.23348, 0.587157
0.233711, 0.587243
0.233942, 0.587328
0.234173, 0.587414
0.234404, 0.587499
0.234635, 0.587585
0.234866, 0.58767
0.235097, 0.587755
0.235328, 0.587841
0.235559, 0.587926
0.23579, 0.588012
0.236021, 0.588097
0.236252, 0.588182
0.236483, 0.588268
0.236714, 0.588353
0.236945, 0.588438
0.237175, 0.588524
0.237406, 0.588609
0.237637, 0.588695
0.237868, 0.58878
0.238099, 0.588865
0.23833, 0.588951
0.238561, 0.589036
0.238792, 0.589122
0.239023, 0.589207
0.239254, 0.589292
0.239485, 0.589378
0.239716, 0.589463
0.239947, 0.589548
0.240178, 0.589634
0.240409, 0.589719
0.24064, 0.589804
0.240871, 0.58989
0.241101, 0.589975
0.241332, 0.59006
0.241563, 0.590146
0.241794, 0.590231
0.242025, 0.590316
0.242256, 0.590402
0.242487, 0.590487
0.242718, 0.590572
0.242949, 0.590658
0.24318, 0.590743
0.243411, 0.590828
0.243642, 0.590914
0.243873, 0.590999
0.244104, 0.591084
0.244335, 0.59117
0.244566, 0.591255
0.244797, 0.59134
0.245027, 0.591426
0.245258, 0.591511
0.245489, 0.591596
0.24572, 0.591681
0.245951, 0.591767
0.246182, 0.591852
0.246413, 0.591937
0.246644, 0.592023
0.246875, 0.592108
0.247106, 0.592193
0.247337, 0.592278
0.247568, 0.592364
0.247799, 0.592449
0.24803, 0.592534
0.248261, 0.59262
0.248492, 0.592705
0.248722, 0.59279
0.248953, 0.592875
0.249184, 0.592961
0.249415, 0.593046
0.249646, 0.593131
0.249877, 0.593216
0.250108, 0.593302
0.250339, 0.593387
0.25057, 0.593472
0.250801, 0.593557
0.251032, 0.593643
0.251263, 0.593728
0.251494, 0.593813
0.251725, 0.593898
0.251956, 0.593984
0.252187, 0.594069
0.252418, 0.594154
0.252648, 0.594239
0.252879, 0.594324
0.25311, 0.59441
0.253341, 0.594495
0.253572, 0.59458
0.253803, 0.594665
0.254034, 0.59475
0.254265, 0.594836
0.254496, 0.594921
0.254727, 0.595006
0.254958, 0.595091
0.255189, 0.595176
0.25542, 0.595262
0.255651, 0.595347
0.255882, 0.595432
0.256113, 0.595517
0.256344, 0.595602
0.256574, 0.595688
0.256805, 0.595773
0.257036, 0.595858
0.257267, 0.595943
0.257498, 0.596028
0.257729, 0.596113
0.25796, 0.596199
0.258191, 0.596284
0.258422, 0.596369
0.258653, 0.596454
0.258884, 0.596539
0.259115, 0.596624
0.259346, 0.59671
0.259577, 0.596795
0.259808, 0.59688
0.260039, 0.596965
0.26027, 0.59705
